line_id,origin_canton,line_name,stop_id,num_cantons,canton_list
91-26-C-j24-1,"['Uri', 'Schwyz', 'Ticino', 'Aargau']",IR26,370,4,"Aargau, Schwyz, Ticino, Uri"
91-46-j24-1,"['Zurich', 'Uri', 'Schwyz', 'Ticino']",IR46,349,4,"Schwyz, Ticino, Uri, Zurich"
91-8-E-j24-1,"['Valais', 'Thurgau', 'Bern', 'Zurich']",IC8,269,4,"Bern, Thurgau, Valais, Zurich"
94-360-0-j24-1,"['Luzern', 'Uri', 'Schwyz', 'Nidwalden']",3600,137,4,"Luzern, Nidwalden, Schwyz, Uri"
91-21-j24-1,"['AppenzellAusserrhoden', 'StGallen', 'AppenzellInnerrhoden']",S21,2096,3,"AppenzellAusserrhoden, AppenzellInnerrhoden, StGallen"
92-403-B-j24-1,"['Zurich', 'Thurgau', 'Schaffhausen']",403,1384,3,"Schaffhausen, Thurgau, Zurich"
91-33-C-j24-1,"['Vaud', 'Geneve', 'Valais']",RE33,1350,3,"Geneve, Valais, Vaud"
92-608-A-j24-1,"['Bern', 'Luzern', 'Aargau']",608,1256,3,"Aargau, Bern, Luzern"
92-734-7-j24-1,"['Schaffhausen', 'Zurich', 'Aargau']",7347,1162,3,"Aargau, Schaffhausen, Zurich"
96-131-2-j24-1,"['Solothurn', 'Basel-Landschaft', 'Jura']",112,1157,3,"Basel-Landschaft, Jura, Solothurn"
91-29-j24-1,"['Luzern', 'Aargau', 'Solothurn']",S29,1066,3,"Aargau, Luzern, Solothurn"
91-5-D-j24-1,"['Obwalden', 'Nidwalden', 'Luzern']",S5,1014,3,"Luzern, Nidwalden, Obwalden"
96-245-5-j24-1,"['Schwyz', 'Glarus', 'StGallen']",513,1005,3,"Glarus, Schwyz, StGallen"
92-730-7-j24-1,"['Basel-Stadt', 'Aargau', 'Basel-Landschaft']",7307,943,3,"Aargau, Basel-Landschaft, Basel-Stadt"
91-23-j24-1,"['Aargau', 'Solothurn', 'Bern']",S23,883,3,"Aargau, Bern, Solothurn"
91-90-j24-1,"['Vaud', 'Geneve', 'Valais']",IR90,866,3,"Geneve, Valais, Vaud"
91-2-C-j24-1,"['Schwyz', 'Uri', 'Zug']",S2,853,3,"Schwyz, Uri, Zug"
91-23-A-j24-1,"['AppenzellInnerrhoden', 'AppenzellAusserrhoden', 'StGallen']",S23,824,3,"AppenzellAusserrhoden, AppenzellInnerrhoden, StGallen"
91-36-C-j24-1,"['Jura', 'Bern', 'Neuchatel']",R36,824,3,"Bern, Jura, Neuchatel"
91-29-A-j24-1,"['Zurich', 'Thurgau', 'Schaffhausen']",S29,811,3,"Schaffhausen, Thurgau, Zurich"
